street,city,zipcode,beds,baths,sq__ft,price,Property_ID
3526 HIGH ST,SACRAMENTO,95838,2,1,836,59222,1
51 OMAHA CT,SACRAMENTO,95823,3,1,1167,68212,2
2796 BRANCH ST,SACRAMENTO,95815,2,1,796,68880,3
2805 JANETTE WAY,SACRAMENTO,95815,2,1,852,69307,4
6001 MCMAHON DR,SACRAMENTO,95824,2,1,797,81900,5
5828 PEPPERMILL CT,SACRAMENTO,95841,3,1,1122,89921,6
6048 OGDEN NASH WAY,SACRAMENTO,95842,3,2,1104,90895,7
2561 19TH AVE,SACRAMENTO,95820,3,1,1177,91002,8
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,2,2,941,94905,9
7325 10TH ST,RIO LINDA,95673,3,2,1146,98937,10
